DATE,TIME,EPOCH_TIME,CH4,CO2,H2O,N2O,NH3
12/12/2023,3:33:17,1702380800,1.877621,427.487793,2.079822,0.32195,0.762394
12/12/2023,4:33:16,1702384384,1.863504,420.493744,2.103118,0.321763,0.742937
12/12/2023,5:33:19,1702387968,1.805131,406.326935,2.118428,0.320993,0.721064
12/12/2023,6:33:18,1702391552,1.80798,406.6922,2.024959,0.321723,0.66606
12/12/2023,7:33:19,1702395136,1.805962,403.683533,1.981827,0.32225,0.642975
12/12/2023,8:33:20,1702398848,1.800611,401.574707,1.956604,0.321287,0.651605
12/12/2023,9:33:21,1702402432,1.800507,401.099609,1.966937,0.321662,0.715965
12/12/2023,10:33:18,1702406016,1.798297,400.061035,2.070497,0.320953,0.836794
12/12/2023,11:32:15,1702409472,1.794629,422.350128,2.138802,0.318928,0.932065
12/12/2023,12:33:20,1702413184,1.794589,437.012604,2.205202,0.321303,1.158038
12/12/2023,13:33:21,1702416768,1.801895,425.122559,2.198121,0.320875,1.176996
12/12/2023,14:33:21,1702420352,1.812449,417.213074,2.142186,0.321272,1.176945
12/12/2023,15:33:21,1702424064,1.804926,412.227844,2.077258,0.321551,1.171486
12/12/2023,16:33:20,1702427648,1.801093,409.719116,2.028184,0.321334,1.148389
12/12/2023,17:33:22,1702431232,1.798445,407.895203,2.047384,0.321069,1.108106
12/12/2023,18:33:21,1702434816,1.807752,409.432465,2.035154,0.321811,1.01894
12/12/2023,19:33:22,1702438400,1.817179,415.341919,2.068616,0.32185,0.93145
12/12/2023,20:33:21,1702441984,1.86555,415.613647,2.245863,0.321458,0.879213
12/12/2023,21:33:22,1702445568,1.857743,412.835602,2.292215,0.320922,0.880754
12/12/2023,22:33:24,1702449152,1.852345,416.020996,2.299842,0.320656,0.845206
12/12/2023,23:33:23,1702452864,1.874552,417.216705,2.293277,0.321198,0.753408
13/12/2023,0:33:24,1702456448,1.875433,419.337646,2.242779,0.321364,0.691213
13/12/2023,1:33:23,1702460032,1.878898,423.901947,2.23669,0.321941,0.625919
13/12/2023,2:33:24,1702463616,1.918895,426.219269,2.278098,0.321158,0.571594
13/12/2023,3:33:26,1702467200,1.998595,440.89679,2.322385,0.322563,0.520567
13/12/2023,4:33:26,1702470784,2.144357,449.275604,2.375418,0.322941,0.492558
13/12/2023,5:33:27,1702474368,1.948398,436.30719,2.269692,0.322827,0.470861
13/12/2023,6:33:24,1702477952,1.88046,423.264404,2.119892,0.322405,0.482633
13/12/2023,7:33:25,1702481664,1.853428,415.189911,2.025301,0.322856,0.454441
13/12/2023,8:33:26,1702485248,1.830333,410.436676,1.898031,0.322897,0.434136
13/12/2023,9:33:27,1702488832,1.821471,406.695374,1.959613,0.32228,0.496909
13/12/2023,10:33:29,1702492416,1.818027,404.862915,1.857125,0.322521,0.594543
13/12/2023,11:33:27,1702496000,1.822584,407.623993,1.303161,0.326403,0.74982
13/12/2023,12:33:30,1702499584,1.82269,407.750702,1.269332,0.326737,1.13416
13/12/2023,13:33:30,1702503168,1.823207,408.570801,1.160848,0.327269,1.072105
13/12/2023,14:33:29,1702506752,1.821004,408.81369,1.116791,0.328138,1.194833
13/12/2023,15:33:31,1702510464,1.820394,409.328644,1.175306,0.327115,1.360839
13/12/2023,16:33:33,1702514048,1.820947,409.967896,1.22569,0.327069,1.448012
13/12/2023,17:33:30,1702517632,1.826329,411.737518,1.225132,0.32698,1.5508
13/12/2023,18:33:33,1702521216,1.858606,415.455566,1.359197,0.326213,1.65904
13/12/2023,19:33:31,1702524800,1.808346,405.611328,2.031536,0.321822,1.646692
13/12/2023,20:33:32,1702528384,1.804219,404.148743,2.036694,0.321996,1.449029
13/12/2023,21:33:33,1702531968,1.804478,404.248535,2.005335,0.321675,1.30825
13/12/2023,22:33:32,1702535552,1.808604,405.017975,1.984086,0.321611,1.27103
13/12/2023,23:33:34,1702539264,1.815384,406.00766,1.964699,0.321953,1.271901
14/12/2023,0:33:32,1702542848,1.817503,406.307098,1.950019,0.32228,1.270401
14/12/2023,1:33:36,1702546432,1.819345,406.628113,1.90099,0.322301,1.237501
14/12/2023,2:33:35,1702550016,1.814427,406.829529,1.86404,0.322439,1.205702
14/12/2023,3:33:35,1702553600,1.827255,408.142639,1.850402,0.322386,1.198847
14/12/2023,4:33:34,1702557184,1.821117,408.19809,1.826395,0.322628,1.162136
14/12/2023,5:33:34,1702560768,1.821936,408.248749,1.790967,0.322632,1.087502
14/12/2023,6:33:35,1702564352,1.81437,407.549713,1.688516,0.323821,1.058496
